Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.4169048194,31721.2989141857,35125.5224984723,32394.6833725203,33121.3712885508
"Korea, Rep.",KOR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.8889146004307,-0.846212237799236,4.43912129317819,2.80523762871836,1.2782352431086
"Korea, Rep.",KOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31645.9498343307,31378.1579340648,32771.0724243229,33690.3788793046,34121.0211756766
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1651422932447.77,1644312831906.17,1818432106880.04,1673916511799.71,1712792854202.37
"Korea, Rep.",KOR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1638146960195.06,1626525694049.93,1696543311942.81,1740868427277.01,1764487367948.7
"Korea, Rep.",KOR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-0.839325308149668,1.56374685675343,2.76293194144772,1.27552257409207,2.06407396162432
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.383000303608136,0.537288023411737,2.49833333333339,5.08951365062842,3.59281437125748
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.746,3.931,3.639,2.857,2.642
"Korea, Rep.",KOR,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,9.953,10.26,8.125,6.701,5.437
"Korea, Rep.",KOR,External balance on goods and services (current US$),NE.RSB.GNFS.CD,46150387327.4939,60595164241.8174,64645299272.6878,119168684.183843,884838156.874384
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.24397786011012,-0.709415359397681,4.30473481906969,2.61267219187226,1.35673324311098
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40415.9567649547,40040.7655055923,40058.5373276179,34017.2718075024,33834.3921056453
Japan,JPN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.262170828589063,-3.86470966963243,3.0321308280439,1.40382237505176,2.42101118299132
Japan,JPN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36043.7844013365,34650.7967802766,35701.4542716142,36202.639274898,37079.1092202813
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5117993853016.51,5055587093501.59,5034620784584.98,4256410760723.75,4212945159781.4
Japan,JPN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4564332550094.45,4375044252274.51,4487015645273.13,4529854841042.58,4616966465093.54
Japan,JPN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.63480316569607,0.941449700794308,-0.19006062486126,0.333979877221765,3.75261232319188
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.46877615938395,-0.024995834027731,-0.233352779398264,2.49770278172255,3.26813365933163
Japan,JPN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.351,2.809,2.828,2.6,2.575
Japan,JPN,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,3.934,4.676,4.623,4.4,4.1
Japan,JPN,External balance on goods and services (current US$),NE.RSB.GNFS.CD,-14809695880.2551,-13587503404.4538,-26206712404.4093,-160053213900.776,..
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.402169200910933,-4.14711889947692,2.55932023865617,0.954736937781391,1.92305553064716
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10143.8602206165,10408.7195541075,12617.5051041181,12662.5831692254,12614.0609948923
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.57531686294317,1.99555804192106,8.35171995394172,3.00257602626677,5.30924853429752
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10155.5108830542,10358.1699971792,11223.2553476968,11560.2421221334,12174.0041075641
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,14279968506271.7,14687744162801,17820459508852.2,17881783387000.9,17794781986104.5
China,CHN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,14296369668065.2,14616413683019.5,15851276922873.1,16325084918823.8,17173989334581.7
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.28670040766232,0.49249391805742,4.55232657897571,1.78570164213482,-0.535569713948448
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.89923416358227,2.41942189457782,0.981015135544882,1.97357555739051,0.234836828893051
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.56,5,4.55,4.98,4.67
China,CHN,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,11.83,14.19,14.25,..,..
China,CHN,External balance on goods and services (current US$),NE.RSB.GNFS.CD,132787798765.529,355147112390.232,460829383707.24,577846955118.88,386035269476.163
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.95050075367413,2.23863835634639,8.44846941687277,2.98908408613474,5.19999999987174
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65548.0707847572,64317.398912504,71055.8761938303,77246.6738828672,81695.1870713305
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.00148267922953,-3.15644425196703,5.63386812824078,1.56159818901087,2.0395059357577
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,61330.6459767318,59394.778327105,62741.0018131151,63720.7641611959,65020.3529285737
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,21521395000000,21322950000000,23594031000000,25744108000000,27360935000000
United States,USA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,20136688111000,19690968695000,20833085468000,21236308982000,21776284673936.2
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.67850787434747,1.3206183953191,4.584745358897,7.04102594330236,3.64499524971842
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.81221007526012,1.23358439630638,4.69785886363742,8.00279982052121,4.11633838374488
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.669,8.055,5.349,3.65,3.625
United States,USA,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,8.392,14.92,9.73,8.129,7.938
United States,USA,External balance on goods and services (current US$),NE.RSB.GNFS.CD,-578504000000,-626391000000,-858239000000,-971119000000,..
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.46703756313913,-2.21346933290643,5.8002061284573,1.93549589483209,2.54270029878489
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2050.16380022056,1915.55158799947,2250.1790176424,2366.30960899931,2484.8454294403
India,IND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.81187310225657,-6.6734705465819,8.81860584308893,6.2615994901934,6.72138141442038
India,IND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1944.31484844968,1814.56156970557,1974.58060231807,2098.22093124628,2239.25036295254
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2835606256558.84,2674851578586.86,3167270623260.52,3353470496885.95,3549918918777.53
India,IND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2689205295884.67,2533830417085.77,2779348258937.5,2973542414789.3,3199055012896.79
India,IND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.40551716110539,4.81485791890125,8.35490771485064,6.7475130832006,1.36646712940708
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.72950573539129,6.62343677628535,5.13140747176369,6.69903414079852,5.64914318907925
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.51,7.859,6.38,4.822,4.172
India,IND,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,22.689,24.541,20.684,17.856,15.469
India,IND,External balance on goods and services (current US$),NE.RSB.GNFS.CD,-73069992885.3108,-10516218299.5447,-83133636377.4612,-119529234327.297,-73506095475.408
